,Mid,label,red,blue,nir,mir,fyear,lat,lon,Y_JD,xy,tms,doy
44056,392_673_2000_65,11,0.1296,0.1231,0.4067,0.1701,0.174863387978,-12.1760416656,-56.1389332988,2000_65,392_673,1,65
44057,392_673_2000_81,11,0.1004,0.0499,0.2735,0.1914,0.218579234973,-12.1760416656,-56.1389332988,2000_81,392_673,2,81
44058,392_673_2000_97,11,0.1284,0.0731,0.2819,0.2414,0.262181238616,-12.1760416656,-56.1389332988,2000_97,392_673,3,97
44059,392_673_2000_113,11,0.0993,0.052,0.3225,0.1833,0.30589708561,-12.1760416656,-56.1389332988,2000_113,392_673,4,113
44060,392_673_2000_129,11,0.0828,0.0406,0.2575,0.1457,0.349612932605,-12.1760416656,-56.1389332988,2000_129,392_673,5,129
44061,392_673_2000_145,11,0.1187,0.0584,0.2493,0.2193,0.393328779599,-12.1760416656,-56.1389332988,2000_145,392_673,6,145
44062,392_673_2000_161,11,0.1218,0.0523,0.2244,0.2208,0.437044626594,-12.1760416656,-56.1389332988,2000_161,392_673,7,161
44063,392_673_2000_177,11,0.1304,0.0711,0.2043,0.2486,0.480760473588,-12.1760416656,-56.1389332988,2000_177,392_673,8,177
44064,392_673_2000_193,11,0.1412,0.0551,0.2056,0.2666,0.524476320583,-12.1760416656,-56.1389332988,2000_193,392_673,9,193
44065,392_673_2000_209,11,0.1128,0.0471,0.1732,0.1767,0.568192167577,-12.1760416656,-56.1389332988,2000_209,392_673,10,209
44066,392_673_2000_225,11,0.1472,0.061,0.212,0.2525,0.611908014572,-12.1760416656,-56.1389332988,2000_225,392_673,11,225
44067,392_673_2000_241,11,0.1198,0.0535,0.1859,0.2175,0.655623861566,-12.1760416656,-56.1389332988,2000_241,392_673,12,241
44068,392_673_2000_257,11,0.1549,0.0815,0.2257,0.3329,0.699339708561,-12.1760416656,-56.1389332988,2000_257,392_673,13,257
44069,392_673_2000_273,11,0.1277,0.063,0.1945,0.278,0.743055555556,-12.1760416656,-56.1389332988,2000_273,392_673,14,273
44070,392_673_2000_289,11,0.1192,0.1033,0.2098,0.129,0.78677140255,-12.1760416656,-56.1389332988,2000_289,392_673,15,289
44071,392_673_2000_305,11,0.1801,0.1221,0.3574,0.3027,0.830601092896,-12.1760416656,-56.1389332988,2000_305,392_673,16,305
44074,392_673_2000_353,11,0.0196,0.0226,0.5155,0.1096,0.96174863388,-12.1760416656,-56.1389332988,2000_353,392_673,19,353
44075,392_673_2001_1,11,0.0507,0.0166,0.5283,0.1033,0.0,-12.1760416656,-56.1389332988,2001_1,392_673,20,1
44076,392_673_2001_17,11,0.1314,0.039,0.368,0.144,0.0438356164384,-12.1760416656,-56.1389332988,2001_17,392_673,21,17
44078,392_673_2001_49,11,0.1161,0.0401,0.2369,0.1356,0.131506849315,-12.1760416656,-56.1389332988,2001_49,392_673,23,49
44079,392_673_2001_65,11,0.0705,0.0377,0.3813,0.1334,0.175342465753,-12.1760416656,-56.1389332988,2001_65,392_673,24,65
44081,392_673_2001_97,11,0.014,0.0199,0.0878,0.0604,0.262899543379,-12.1760416656,-56.1389332988,2001_97,392_673,26,97
44082,392_673_2001_113,11,0.0422,0.0279,0.3082,0.112,0.306735159817,-12.1760416656,-56.1389332988,2001_113,392_673,27,113
44083,392_673_2001_129,11,0.0595,0.0296,0.2323,0.1179,0.350570776256,-12.1760416656,-56.1389332988,2001_129,392_673,28,129
44084,392_673_2001_145,11,0.0702,0.03,0.2004,0.1464,0.394406392694,-12.1760416656,-56.1389332988,2001_145,392_673,29,145
44085,392_673_2001_161,11,0.0948,0.0463,0.2555,0.1712,0.438242009132,-12.1760416656,-56.1389332988,2001_161,392_673,30,161
44086,392_673_2001_177,11,0.1382,0.0589,0.3033,0.2223,0.482077625571,-12.1760416656,-56.1389332988,2001_177,392_673,31,177
44087,392_673_2001_193,11,0.1404,0.0562,0.2424,0.2732,0.525913242009,-12.1760416656,-56.1389332988,2001_193,392_673,32,193
44088,392_673_2001_209,11,0.1544,0.0614,0.2551,0.2725,0.569748858447,-12.1760416656,-56.1389332988,2001_209,392_673,33,209
44089,392_673_2001_225,11,0.1799,0.0806,0.2882,0.2852,0.613584474886,-12.1760416656,-56.1389332988,2001_225,392_673,34,225
44090,392_673_2001_241,11,0.135,0.0649,0.2383,0.2398,0.657420091324,-12.1760416656,-56.1389332988,2001_241,392_673,35,241
44091,392_673_2001_257,11,0.168,0.0805,0.2655,0.3236,0.701255707763,-12.1760416656,-56.1389332988,2001_257,392_673,36,257
44093,392_673_2001_289,11,0.1323,0.0591,0.2717,0.2268,0.788926940639,-12.1760416656,-56.1389332988,2001_289,392_673,38,289
44094,392_673_2001_305,11,0.0815,0.0443,0.3532,0.2141,0.832876712329,-12.1760416656,-56.1389332988,2001_305,392_673,39,305
44095,392_673_2001_321,11,0.1203,0.136,0.3729,0.1659,0.876712328767,-12.1760416656,-56.1389332988,2001_321,392_673,40,321
44096,392_673_2001_337,11,0.0506,0.0815,0.5505,0.1385,0.920547945205,-12.1760416656,-56.1389332988,2001_337,392_673,41,337
44097,392_673_2001_353,11,0.1957,0.2184,0.4549,0.1565,0.964383561644,-12.1760416656,-56.1389332988,2001_353,392_673,42,353
44098,392_673_2002_1,11,0.0583,0.1062,0.6049,0.1215,0.0,-12.1760416656,-56.1389332988,2002_1,392_673,43,1
44101,392_673_2002_49,11,0.1309,0.0613,0.2233,0.2456,0.131506849315,-12.1760416656,-56.1389332988,2002_49,392_673,46,49
44102,392_673_2002_65,11,0.1693,0.0593,0.3017,0.2656,0.175342465753,-12.1760416656,-56.1389332988,2002_65,392_673,47,65
44103,392_673_2002_81,11,0.0683,0.038,0.3844,0.1463,0.219178082192,-12.1760416656,-56.1389332988,2002_81,392_673,48,81
44104,392_673_2002_97,11,0.0505,0.0253,0.3705,0.1092,0.262899543379,-12.1760416656,-56.1389332988,2002_97,392_673,49,97
44105,392_673_2002_113,11,0.0507,0.0263,0.3229,0.1035,0.306735159817,-12.1760416656,-56.1389332988,2002_113,392_673,50,113
44106,392_673_2002_129,11,0.0519,0.027,0.2814,0.1035,0.350570776256,-12.1760416656,-56.1389332988,2002_129,392_673,51,129
44107,392_673_2002_145,11,0.0712,0.0349,0.1806,0.1529,0.394406392694,-12.1760416656,-56.1389332988,2002_145,392_673,52,145
44108,392_673_2002_161,11,0.0712,0.0392,0.183,0.1757,0.438242009132,-12.1760416656,-56.1389332988,2002_161,392_673,53,161
44109,392_673_2002_177,11,0.1541,0.0579,0.2501,0.2483,0.482077625571,-12.1760416656,-56.1389332988,2002_177,392_673,54,177
44110,392_673_2002_193,11,0.1675,0.0614,0.2571,0.2758,0.525913242009,-12.1760416656,-56.1389332988,2002_193,392_673,55,193
44111,392_673_2002_209,11,0.1399,0.0651,0.2204,0.2662,0.569748858447,-12.1760416656,-56.1389332988,2002_209,392_673,56,209
44112,392_673_2002_225,11,0.1746,0.0752,0.2614,0.3035,0.613584474886,-12.1760416656,-56.1389332988,2002_225,392_673,57,225
44113,392_673_2002_241,11,0.1714,0.0765,0.2485,0.3057,0.657420091324,-12.1760416656,-56.1389332988,2002_241,392_673,58,241
44114,392_673_2002_257,11,0.1338,0.068,0.2203,0.2895,0.701255707763,-12.1760416656,-56.1389332988,2002_257,392_673,59,257
44115,392_673_2002_273,11,0.1208,0.0602,0.2253,0.2264,0.745091324201,-12.1760416656,-56.1389332988,2002_273,392_673,60,273
44119,392_673_2002_337,11,0.0384,0.015,0.3244,0.1061,0.920547945205,-12.1760416656,-56.1389332988,2002_337,392_673,64,337
44121,392_673_2003_1,11,0.1844,0.0719,0.57,0.109,0.0,-12.1760416656,-56.1389332988,2003_1,392_673,66,1
44123,392_673_2003_33,11,0.1204,0.0401,0.2499,0.1917,0.0876712328767,-12.1760416656,-56.1389332988,2003_33,392_673,68,33
44124,392_673_2003_49,11,0.0868,0.0574,0.2424,0.1011,0.131506849315,-12.1760416656,-56.1389332988,2003_49,392_673,69,49
44125,392_673_2003_65,11,0.1138,0.1091,0.2735,0.1567,0.175342465753,-12.1760416656,-56.1389332988,2003_65,392_673,70,65
44127,392_673_2003_97,11,0.045,0.0304,0.4253,0.1254,0.262899543379,-12.1760416656,-56.1389332988,2003_97,392_673,72,97
44128,392_673_2003_113,11,0.0559,0.0368,0.3527,0.1416,0.306735159817,-12.1760416656,-56.1389332988,2003_113,392_673,73,113
44129,392_673_2003_129,11,0.0652,0.0299,0.3437,0.1079,0.350570776256,-12.1760416656,-56.1389332988,2003_129,392_673,74,129
44130,392_673_2003_145,11,0.0793,0.0351,0.2008,0.1771,0.394406392694,-12.1760416656,-56.1389332988,2003_145,392_673,75,145
44131,392_673_2003_161,11,0.1219,0.0574,0.2663,0.2199,0.438242009132,-12.1760416656,-56.1389332988,2003_161,392_673,76,161
44132,392_673_2003_177,11,0.1308,0.0629,0.2839,0.2421,0.482077625571,-12.1760416656,-56.1389332988,2003_177,392_673,77,177
44133,392_673_2003_193,11,0.1281,0.0525,0.2602,0.2385,0.525913242009,-12.1760416656,-56.1389332988,2003_193,392_673,78,193
44134,392_673_2003_209,11,0.1363,0.0634,0.263,0.2467,0.569748858447,-12.1760416656,-56.1389332988,2003_209,392_673,79,209
44135,392_673_2003_225,11,0.1535,0.0658,0.2791,0.2821,0.613584474886,-12.1760416656,-56.1389332988,2003_225,392_673,80,225
44136,392_673_2003_241,11,0.1486,0.0738,0.2506,0.2599,0.657420091324,-12.1760416656,-56.1389332988,2003_241,392_673,81,241
44137,392_673_2003_257,11,0.1214,0.0712,0.2492,0.2819,0.701255707763,-12.1760416656,-56.1389332988,2003_257,392_673,82,257
44138,392_673_2003_273,11,0.1241,0.0998,0.2951,0.2309,0.745091324201,-12.1760416656,-56.1389332988,2003_273,392_673,83,273
44139,392_673_2003_289,11,0.0916,0.0291,0.1917,0.1371,0.788926940639,-12.1760416656,-56.1389332988,2003_289,392_673,84,289
44141,392_673_2003_321,11,0.0428,0.0402,0.5692,0.1626,0.876712328767,-12.1760416656,-56.1389332988,2003_321,392_673,86,321
44142,392_673_2003_337,11,0.0221,0.0182,0.63,0.1272,0.920547945205,-12.1760416656,-56.1389332988,2003_337,392_673,87,337
44143,392_673_2003_353,11,0.1053,0.1607,0.6112,0.1203,0.964383561644,-12.1760416656,-56.1389332988,2003_353,392_673,88,353
44145,376_686_2000_65,11,0.0616,0.054,0.3914,0.1334,0.174863387978,-12.1427083323,-56.1041934238,2000_65,376_686,1,65
44146,376_686_2000_81,11,0.0907,0.0438,0.2406,0.1592,0.218579234973,-12.1427083323,-56.1041934238,2000_81,376_686,2,81
44148,376_686_2000_113,11,0.1199,0.0534,0.2188,0.2064,0.30589708561,-12.1427083323,-56.1041934238,2000_113,376_686,4,113
44149,376_686_2000_129,11,0.1456,0.0612,0.2199,0.2525,0.349612932605,-12.1427083323,-56.1041934238,2000_129,376_686,5,129
